,run_time,turbulence_%,end_total_asset,algo,policy,market
0,20210102034256,59.7,1467856,PPO,MlpPolicy,DJI
0,20210128191400,65.1,1468848,A2C,MlpPolicy,DAX
0,20210109055044,59.7,1472429,A2C,MlpLstmPolicy,DJI
0,20210119182553,84.9,1473933,PPO,MlpLstmPolicy,CAC
0,20210111034732,65.1,1474864,PPO,MlpPolicy,DAX
0,20210110065524,59.7,1475128,A2C,MlpLstmPolicy,DJI
0,20210124160305,65.1,1475908,A2C,MlpPolicy,DAX
0,20210112044715,65.1,1478831,A2C,MlpPolicy,DAX
0,20201231002900,84.9,1480164,A2C,MlpPolicy,CAC
0,20210126075243,65.1,1480748,A2C,MlpLnLstmPolicy,DAX
0,20210104123024,65.1,1485273,A2C,MlpLstmPolicy,DAX
0,20210105070659,84.9,1486452,A2C,MlpLnLstmPolicy,CAC
0,20210129061538,59.7,1488345,A2C,MlpPolicy,DJI
0,20210129193203,59.7,1488396,PPO,MlpLstmPolicy,DJI
0,20210119083317,65.1,1488746,A2C,MlpPolicy,DAX
0,20210126035855,65.1,1492767,A2C,MlpLstmPolicy,DAX
0,20210128035407,59.7,1493775,A2C,MlpLnLstmPolicy,DJI
0,20210116190412,65.1,1497457,PPO,MlpLstmPolicy,DAX
0,20210125141013,65.1,1500587,PPO,MlpLnLstmPolicy,DAX
0,20210118054716,59.7,1500882,PPO,MlpLnLstmPolicy,DJI
0,20210101004404,65.1,1503084,A2C,MlpPolicy,DAX
0,20210117205932,59.7,1503629,PPO,MlpLstmPolicy,DJI
0,20210117180835,65.1,1505258,PPO,MlpLnLstmPolicy,DAX
0,20210121235251,65.1,1507348,PPO,MlpLnLstmPolicy,DAX
0,20210126005953,65.1,1507433,A2C,MlpPolicy,DAX
0,20210130113345,65.1,1507459,PPO,MlpLnLstmPolicy,DAX
0,20210115210433,59.7,1507617,PPO,MlpLstmPolicy,DJI
0,20210112133106,59.7,1508167,A2C,MlpPolicy,DJI
0,20210123120118,84.9,1508996,A2C,MlpPolicy,CAC
0,20210112073910,65.1,1509354,PPO,MlpPolicy,DAX
0,20210103100243,84.9,1510695,A2C,MlpPolicy,CAC
0,20210123030940,59.7,1510774,A2C,MlpPolicy,DJI
0,20210130071436,65.1,1511258,A2C,MlpLstmPolicy,DAX
0,20210120060349,65.1,1512325,PPO,MlpLstmPolicy,DAX
0,20210127130015,65.1,1512456,A2C,MlpLstmPolicy,DAX
0,20210115094045,65.1,1513342,PPO,MlpLstmPolicy,DAX
0,20201229105707,59.7,1514723,PPO,MlpPolicy,DJI
0,20210104195832,59.7,1514802,A2C,MlpLstmPolicy,DJI
0,20210130170043,59.7,1515130,PPO,MlpLstmPolicy,DJI
0,20210117112227,59.7,1517541,PPO,MlpLnLstmPolicy,DJI
0,20210105110434,65.1,1517973,A2C,MlpLstmPolicy,DAX
0,20210108103746,65.1,1518270,A2C,MlpLstmPolicy,DAX
0,20210125135752,84.9,1520081,A2C,MlpPolicy,CAC
